,0
201225,-0.6399217461993243
201226,-0.5556911915308481
201227,-0.4611155313080499
201228,-0.3506662397679552
201229,-0.3304305618958747
201230,-0.3756549731295582
201231,-0.38869584367579774
201232,-0.370879605663561
201233,-0.2949409527074931
201234,-0.2287850228637789
201235,-0.2114499869089504
201236,-0.2356572724907034
201237,-0.29603316177849637
201238,-0.28288428584153547
201239,-0.27806886924407853
201240,-0.2522727525575999
201241,-0.2075708457546664
201242,-0.1567545841642749
201243,-0.09532932670972062
201244,-0.0889769077107958
201245,-0.11470301216216308
201246,-0.165658191687383
201247,-0.2833299005191441
201248,-0.40761729863949925
201249,-0.5041924316012255
201250,-0.6597400850395552
201251,-0.784425357018683
201252,-0.8733331474097081
201301,-0.9262695229205801
201302,-0.9745880886584648
201303,-1.0080820751118655
201304,-0.9844694780434977
201305,-1.006089459649526
201306,-1.0426438723908242
201307,-1.0421334934467401
201308,-1.10211574420173
201309,-1.1038038399092258
201310,-1.026132565994076
201311,-0.8456873109726278
201312,-0.669516453149391
201313,-0.6093481116966684
201314,-0.5802895067943805
201315,-0.6226832759762448
201316,-0.5683192972678476
201317,-0.4892167747042963
201318,-0.43756514964681126
201319,-0.42107008451636374
201320,-0.5156023039492077
201321,-0.58080229877401
201322,-0.625428115845602
201323,-0.6702318920936207
201324,-0.6441679875805317
201325,-0.6113016812939027
201326,-0.5535221937464433
201327,-0.5052869723107579
201328,-0.49036989928111197
201329,-0.49250752489997063
201330,-0.5226905026947977
201331,-0.5346049422341149
201332,-0.5272023621365536
201333,-0.4520451684666977
201334,-0.374912140032743
201335,-0.2953201260285833
201336,-0.2664137691667866
201337,-0.28958364625977306
201338,-0.30606404481935645
201339,-0.33537269802978525
201340,-0.34124970410113553
201341,-0.33842647696336914
201342,-0.35273600979627884
201343,-0.37239537173045345
201344,-0.36175191094321646
201345,-0.34406270484712564
201346,-0.3188384951259041
201347,-0.39919480661442697
201348,-0.4842695287626657
201349,-0.6140215256414726
201350,-0.7672778442968153
201351,-0.7209510285187357
201352,-0.6901018321301098
201401,-0.5935718970166475
201402,-0.489614794462194
201403,-0.4960974808957581
201404,-0.5182828285730767
201405,-0.4691228711439025
201406,-0.3710750161627589
201407,-0.25476538234886764
201408,-0.11410783728390314
201409,-0.11895129210987616
201410,-0.12328621875406387
201411,-0.15572730901065146
201412,-0.21435613961221095
201413,-0.199738049351431
201414,-0.18828641429869347
201415,-0.16317382513452067
201416,-0.1265687765893632
201417,-0.1339089199224424
201418,-0.09903478656064515
201419,-0.04807063880342583
201420,-0.02845464267619499
201421,0.011574247241056266
201422,-0.016306805195308315
201423,-0.06081374748517541
201424,-0.09571014913649284
201425,-0.12131785566377967
201426,-0.12063388410983722
201427,-0.09865180381514595
201428,-0.04515635929959968
201429,0.0016114274199703193
201430,0.005002758905473522
201431,-7.628203005420435e-05
201432,-0.0076975344134980715
201433,-0.0025751488702528517
201434,0.005610522905430909
201435,0.02961048492218251
201436,0.05320775541132029
201437,0.03456187133977267
201438,0.06336981032853055
201439,0.09124822613049659
201440,0.11693322656427307
201441,0.16056888199723474
201442,0.16970767605111384
201443,0.19027205948940773
201444,0.23214478598941987
201445,0.2669813446050526
201446,0.3029301243811562
201447,0.2830033553882005
201448,0.20112140325464398
201449,0.09765725226620679
201450,0.04265129670073525
201451,0.07275470436804274
201452,0.17295258696826352
201501,0.32084543777865443
201502,0.4341948323916313
201503,0.5241267121999571
201504,0.5962270245727792
201505,0.6295892347978134
201506,0.6170477505700243
201507,0.5884669300896714
201508,0.5497539388856525
201509,0.4763630601274089
201510,0.43947919342522646
201511,0.37417993347701684
201512,0.3356549024592017
201513,0.344371289612177
201514,0.3502684232845701
201515,0.3419561306688018
201516,0.2822794587067096
201517,0.2412333428214868
201518,0.24693430711692876
201519,0.2871384679390103
201520,0.3168851966068673
201521,0.34253187344440217
201522,0.35551228407117685
201523,0.35660087700210763
201524,0.4290411862287367
201525,0.48488846508674605
201526,0.5088503755772474
201527,0.5267589445965036
201528,0.5410151435364237
201529,0.5753010862539817
201530,0.615087018960579
201531,0.6770562010992451
201532,0.7056027040953227
201533,0.748154193171333
201534,0.8057233804792334
201535,0.8675129773927647
201536,0.9167476071895182
201537,0.9328303529840437
201538,0.9422164077349982
201539,0.9477119753173625
201540,0.9678959623734813
201541,1.004554124147202
201542,1.0066349131308943
201543,0.980332536938605
201544,0.933260616623374
201545,0.8695712923226651
201546,0.8312971888914742
201547,0.6338311785612817
201548,0.44692973695177607
201549,0.254074009298324
201550,0.05247489936244259
201551,0.06067312047234229
201552,0.0574447246665069
201601,0.08233263885690073
201602,0.07471929904464572
201603,0.03641096200314935
201604,0.04513235198409347
201605,0.0859934849743947
201606,0.18943753874951413
201607,0.2620984133685788
201608,0.2627432868064979
201609,0.283782201254308
201610,0.25845575747600047
201611,0.2275812539959377
201612,0.22961382966820593
201613,0.18527123551525693
201614,0.15014689601729317
201615,0.14323962584155372
201616,0.14250723969654946
201617,0.11699255791169852
201618,0.08195017142276043
201619,0.04645800265543794
201620,0.04058205186326806
201621,0.06492574585896682
201622,0.08481118532941402
201623,0.09366893632700352
201624,0.06543043606650847
201625,0.025285973775787333
201626,0.023098202898663805
201627,0.03273478607080044
201628,0.07314524930646774
201629,0.06778867595312539
201630,0.05494343727056135
201631,0.03692479014826445
201632,0.01500384892206183
201633,0.029973485794331386
201634,0.033639905917833515
201635,0.05342074127255912
201636,0.044621146881037924
201637,-0.009033994006681288
201638,-0.02795222137267382
201639,-0.05136723841583999
201640,-0.06148607728996573
201641,-0.04023983983545205
201642,-0.047870573055460296
201643,-0.053318102601776704
201644,-0.07404292620388007
201645,-0.07146270293634226
201646,-0.0579725742698989
201647,-0.18189187133225906
201648,-0.27906908465752
201649,-0.38301615278975765
201650,-0.48112446375122264
201651,-0.4066542757182497
201652,-0.3971766214547085
201701,-0.41041681419120074
201702,-0.4416089294602388
201703,-0.4708543363462249
201704,-0.40460513510152574
201705,-0.3385376102840897
201706,-0.27000644286230446
201707,-0.2271049436492248
201708,-0.18665946140354406
201709,-0.11768938360218989
201710,-0.10500221739207642
201711,-0.1299293137553439
201712,-0.18062744300696904
201713,-0.20555434675341228
201714,-0.17232324744015307
201715,-0.12100072807409047
201716,-0.09965136035824562
201717,-0.14895927469597087
201718,-0.18457208819907317
201719,-0.20310406129088837
201720,-0.22354958257587926
201721,-0.20050702370772694
201722,-0.19728291960359298
201723,-0.19832211680245815
201724,-0.17902951897153443
201725,-0.14278098909651094
201726,-0.11727247271168426
201727,-0.12105663182296078
201728,-0.09153703616701069
201729,-0.08727694121462065
201730,-0.0995317159408577
201731,-0.09716508830061041
201732,-0.14284645311628277
201733,-0.18065792911513306
201734,-0.20197833901313778
201735,-0.22106248094190234
201736,-0.2339042358684924
201737,-0.23233780997544515
201738,-0.24467284066346512
201739,-0.2595322894031805
201740,-0.25994825580336567
201741,-0.2769280697010408
201742,-0.2896107597868828
201743,-0.29104089976345854
201744,-0.3119032150646399
201745,-0.32915383657799013
201746,-0.3313757608464148
201747,-0.2978046001146022
201748,-0.24413868668540797
201749,-0.1901003518049873
201750,-0.11365134839076835
201751,-0.07880226939483925
201752,-0.061179678746083585
201801,-0.10068874149662912
201802,-0.15752275729251813
201803,-0.1917201669245394
201804,-0.21977518397569512
201805,-0.19053272011013234
201806,-0.1853849650091085
201807,-0.20220817142602474
201808,-0.19941131174510074
201809,-0.2785325831426971
201810,-0.34786156415719327
201811,-0.3868268383871482
201812,-0.43031936094033674
201813,-0.41102275217809353
201814,-0.377428284421367
201815,-0.379758406195295
201816,-0.3651886171307346
201817,-0.31655708556577117
201818,-0.2809231365017873
201819,-0.2531570971201744
201820,-0.2727964768867078
201821,-0.3042296336505542
201822,-0.31487082692608914
201823,-0.3132777941297403
201824,-0.3043810966667164
201825,-0.2933049546264656
201826,-0.28244618680830347
201827,-0.26701491840259556
201828,-0.21892661162177962
201829,-0.2059769360084141
201830,-0.17344256113828388
201831,-0.15094724908480808
201832,-0.1483851868221485
201833,-0.09993040344706546
201834,-0.0735372691678566
201835,-0.04552030739930565
201836,0.004001982108593266
201837,0.04002431677167085
201838,0.08406494653981934
201839,0.12365930405439082
201840,0.14152953499582333
201841,0.14160123397448063
201842,0.14497323861425726
201843,0.15780188309985632
201844,0.16299738225789673
201845,0.18457839892920674
201846,0.20687855749881767
201847,0.09477424683276267
201848,-0.015540654075705915
201849,-0.1586704906277058
201850,-0.38875144120968697
201851,-0.44408338085686944
201852,-0.4369681323274926
201901,-0.4190084524433084
201902,-0.3592236808154821
201903,-0.3491329077826016
201904,-0.39145915929707076
201905,-0.43198652514665026
201906,-0.39441477828569044
201907,-0.33181384473628467
201908,-0.3287921089843358
201909,-0.23789358808491248
201910,-0.20293512921486134
201911,-0.18742907646372625
201912,-0.13259013988949891
201913,-0.16258463600813752
201914,-0.16967910935079353
201915,-0.1492631526187163
201916,-0.09439307230259955
201917,-0.03258994760606353
201918,0.004042649581504192
201919,0.016208088851746974
201920,-0.020246103867706894
201921,-0.038654910420317594
201922,-0.0639600269349955
201923,-0.09510290541477356
201924,-0.06969656634831638
201925,-0.09002502091999341
201926,-0.08244817961547914
201927,-0.05927986377343745
201928,-0.06362723748331435
201929,-0.03716974928445638
201930,-0.035718006046135065
201931,-0.05002887688409668
201932,-0.04989609297440384
201933,-0.02223082496909567
201934,-0.01720180298272706
201935,0.007982565031169191
201936,0.010458990837490804
201937,-0.028403107199536724
201938,-0.022136392572616445
201939,-0.0035178166747928084
201940,0.010910463054273374
201941,0.039293208889679784
201942,0.04807291776715434
201943,0.041970467197812604
201944,0.06386959381062646
201945,0.09409016771065339
201946,0.14798080242227774
201947,0.07929480672210973
201948,-0.014704628711393213
201949,-0.13272728619671997
201950,-0.27895896308634943
201951,-0.3295222204778663
201952,-0.40192207795737156
202001,-0.43513414282488944
202002,-0.4647655199488389
202003,-0.5328376209173035
202004,-0.5702568668307673
202005,-0.6115018794548361
202006,-0.6206351661602993
202007,-0.6018213265743866
202008,-0.5844597982690043
202009,-0.5125325885376086
